대여소번호,시간대,대여가능수량,보관소(대여소)명,설치대수,거치율,geometry,CELL_ID,CELL_X,CELL_Y,GID,LBL,VAL
135,18,13.0, 명물길 원형무대 앞,20.0,65.0,POINT (126.93984222 37.55922699),다사50505100,950625,1951125,다사50ba51aa,5901454.99,5901454.99
135,19,13.0, 명물길 원형무대 앞,20.0,65.0,POINT (126.93984222 37.55922699),다사50505100,950625,1951125,다사50ba51aa,5901454.99,5901454.99
137,7,0.0, 신촌기차역입구 교차로,20.0,0.0,POINT (126.9431839 37.55681229),다사50755075,950875,1950875,다사50bb50bb,7222774.89,7222774.89
137,8,0.0, 신촌기차역입구 교차로,20.0,0.0,POINT (126.9431839 37.55681229),다사50755075,950875,1950875,다사50bb50bb,7222774.89,7222774.89
137,18,0.0, 신촌기차역입구 교차로,20.0,0.0,POINT (126.9431839 37.55681229),다사50755075,950875,1950875,다사50bb50bb,7222774.89,7222774.89
137,19,0.0, 신촌기차역입구 교차로,20.0,0.0,POINT (126.9431839 37.55681229),다사50755075,950875,1950875,다사50bb50bb,7222774.89,7222774.89
138,7,0.0, 신촌동 제1공영주차장 앞,20.0,0.0,POINT (126.93452454 37.5591774),다사50005100,950125,1951125,다사50aa51aa,10224418.2,10224418.2
138,8,0.0, 신촌동 제1공영주차장 앞,20.0,0.0,POINT (126.93452454 37.5591774),다사50005100,950125,1951125,다사50aa51aa,10224418.2,10224418.2
138,18,0.0, 신촌동 제1공영주차장 앞,20.0,0.0,POINT (126.93452454 37.5591774),다사50005100,950125,1951125,다사50aa51aa,10224418.2,10224418.2
138,19,0.0, 신촌동 제1공영주차장 앞,20.0,0.0,POINT (126.93452454 37.5591774),다사50005100,950125,1951125,다사50aa51aa,10224418.2,10224418.2
139,7,1.0, 연세대 정문 건너편,20.0,5.0,POINT (126.93441772 37.55986404),다사50005125,950125,1951375,다사50aa51ab,3324359.22,3324359.22
139,8,1.0, 연세대 정문 건너편,20.0,5.0,POINT (126.93441772 37.55986404),다사50005125,950125,1951375,다사50aa51ab,3324359.22,3324359.22
139,18,0.0, 연세대 정문 건너편,20.0,0.0,POINT (126.93441772 37.55986404),다사50005125,950125,1951375,다사50aa51ab,3324359.22,3324359.22
139,19,0.0, 연세대 정문 건너편,20.0,0.0,POINT (126.93441772 37.55986404),다사50005125,950125,1951375,다사50aa51ab,3324359.22,3324359.22
140,7,12.166666666666666, 이화여대 후문,44.0,27.65151515151515,POINT (126.94073486 37.560009),다사50505125,950625,1951375,다사50ba51ab,6442441.88,6442441.88
140,8,12.0, 이화여대 후문,44.0,27.27272727272727,POINT (126.94073486 37.560009),다사50505125,950625,1951375,다사50ba51ab,6442441.88,6442441.88
140,18,15.166666666666666, 이화여대 후문,44.0,34.46969696969697,POINT (126.94073486 37.560009),다사50505125,950625,1951375,다사50ba51ab,6442441.88,6442441.88
